country,Life expectancy at birth,Mean years of schooling,Income per capita,Gender Inequality Index,
Samoa,72.8,11.4,"5,308",0.418,
San Marino,80.9,10.8,"52,654",..,
Sao Tome and Principe,67.6,6.2,"4,021",0.494,
Saudi Arabia,76.9,11.3,"46,112",0.247,
Senegal,67.1,2.9,"3,344",0.530,
Serbia,74.2,11.4,"19,123",0.131,
Seychelles,71.3,10.3,"25,831",..,
Sierra Leone,60.1,4.6,"1,622",0.633,
Singapore,82.8,11.9,"90,919",0.040,
Slovakia,74.9,12.9,"30,690",0.180,
Slovenia,80.7,12.8,"39,746",0.071,
Solomon Islands,70.3,5.7,"2,482",..,
Somalia,55.3,..,"1,018",..,
South Africa,62.3,11.4,"12,948",0.405,
South Sudan,55.0,5.7,768,0.587,
Spain,83.0,10.6,"38,354",0.057,
Sri Lanka,76.4,10.8,"12,578",0.383,
Sudan,65.3,3.8,"3,575",0.553,
Suriname,70.3,9.8,"12,672",0.427,
Sweden,83.0,12.6,"54,489",0.023,
Switzerland,84.0,13.9,"66,933",0.018,
Syria,72.1,5.1,"4,192",0.477,
Tajikistan,71.6,11.3,"4,548",0.285,
Tanzania ,66.2,6.4,"2,664",0.560,
Thailand,78.7,8.7,"17,030",0.333,
Timor-Leste,67.7,5.4,"4,461",0.378,
Togo,61.6,5.0,"2,167",0.580,
Tonga,71.0,11.4,"6,822",0.631,
Trinidad and Tobago,73.0,11.6,"23,392",0.344,
Tunisia,73.8,7.4,"10,258",0.259,
Turkey,76.0,8.6,"31,033",0.272,
Turkmenistan,69.3,11.3,"13,021",0.177,
Tuvalu,64.5,10.6,"6,351",..,
Uganda,62.7,5.7,"2,181",0.530,
Ukraine,71.6,11.1,"13,256",0.200,
United Arab Emirates,78.7,12.7,"62,574",0.049,
United Kingdom,80.7,13.4,"45,225",0.098,
United States,77.2,13.7,"64,765",0.179,
Uruguay,75.4,9.0,"21,269",0.235,
Uzbekistan,70.9,11.9,"7,917",0.227,
Vanuatu,70.4,7.1,"3,085",..,
Venezuela,70.6,11.1,"4,811",0.492,
Vietnam,73.6,8.4,"7,867",0.296,
Yemen,63.8,3.2,"1,314",0.820,
Zambia,61.2,7.2,"3,218",0.540,
Zimbabwe,59.3,8.7,"3,810",0.532,
